"","metabolites 1","metabolites 2","metabolites 3","metabolites 4","metabolites 5"
"1",314.067827933468,238.572305813432,163.844309956767,493.643971392885,67.1082576154731
"2",102.498964325059,218.550973909441,394.207903835922,263.757211202756,194.933577137999
"3",134.077084006276,319.368039746769,244.843584997579,474.915169610176,125.70009828778
"4",173.005380074028,122.11503519211,482.732014846988,100.811942969449,305.533582938369
"5",185.883754782844,313.50330801215,368.345380353276,244.275350740645,425.33682580106
"6",305.727050360292,187.395907950122,254.971460183151,439.19076079037,248.954938678071
"7",290.392195794266,484.77836032398,131.111151445657,109.493663988542,455.754389055073
"8",70.0183077133261,376.458944333717,494.568897644058,123.899273527786,117.895379674155
"9",291.577466786839,360.392430715729,221.679537813179,238.748580170795,494.476918724831
"10",193.370985239744,476.563393021934,414.647359121591,428.959935717285,258.800752763636
"11",140.171762148384,384.5022447058,69.0351147670299,168.423239828553,380.665952607524
"12",390.762717521284,449.465706315823,153.824377758428,286.043116252404,389.39568370115
"13",83.7921001832001,462.541724625044,463.45463237958,327.785961737391,151.938216947019
"14",216.990580165293,273.661524162162,179.019177565351,122.97304169042,139.146998210344
"15",182.816442893818,178.576809214428,486.418162542395,421.513401495758,184.753203368746
"16",483.334320806898,72.8211117791943,316.763565654401,108.621287974529,274.241716146935
"17",380.762173817493,449.235778977163,282.761995110195,384.220490592998,163.441560661886
"18",202.42654804606,113.125762867276,187.886159284972,270.850321848411,334.482599038165
"19",281.243234069552,204.594499536324,136.151861317921,383.099057851359,107.113389566075
"20",465.169532888103,132.580990775023,352.046757692005,373.345190624241,125.755977502558
"21",251.772269001231,117.491646658164,474.522247363348,200.130571785849,352.616247034166
"22",131.621498079039,69.7662222897634,59.7530505154282,170.346716034692,86.7036560899578
"23",199.084453063551,105.272486107424,79.5330174500123,154.94352580281,197.432556701824
"24",185.768162366003,196.724963979796,199.60545435315,193.645698134787,241.176638251636
"25",171.647913882043,393.462037981953,363.654295692686,484.726009052247,456.978262169287
"26",65.2193844201975,142.904359393287,105.145181028638,139.071373746265,311.835688143037
"27",167.2406354337,345.528207963798,391.070920415223,225.752419501077,106.992671091575
"28",212.699548865203,484.571909438819,131.222859583795,230.45299394289,208.695070422255
"29",102.397678978741,351.005125069059,237.280684814323,387.211030221079,153.631102805957
"30",382.81982721528,379.46513989009,66.5370683185756,192.021433555055,463.761752960272
"31",499.656787572894,337.27457158966,307.679057307541,403.831873147283,252.350315114018
"32",313.400873402134,100.253828708082,361.332933686208,145.168567087967,420.6382138771
"33",411.639940645546,402.260263159405,379.395776812453,498.642308230046,362.179935898166
"34",200.359353632666,88.2645723409951,360.252470429987,186.349923652597,326.806703046896
"35",76.1078625218943,356.86254715547,410.000987304375,267.087778239511,306.131917657331
"36",335.46665814938,247.941800754052,244.863515382167,259.71656809561,310.403486178257
"37",368.556415196508,495.028364972677,366.111106111202,257.913269626442,442.914830520749
"38",328.978423459921,470.882787392475,371.649283089209,222.727681393735,410.31381218927
"39",260.518869303633,481.855969759636,238.504846161231,438.3972153184,251.133019803092
"40",481.399950850755,127.767456043512,459.695175301749,252.44082059944,203.109935612883
"41",396.939158404712,395.944396022242,463.015447056387,483.848084742203,182.30237364769
"42",409.031578397844,65.3212019125931,154.749751393683,483.443373977207,275.21289101569
"43",170.60746520292,415.583073720336,479.763502231799,63.5816061170772,473.918559856247
"44",299.169500160497,108.813950209878,376.528396259528,330.497534654569,471.628290624358
"45",199.381433636881,383.077561517712,222.499088349286,455.707363539841,357.369539351203
"46",157.843055459671,161.51537259575,343.207032978535,439.947309379932,143.027354078367
"47",63.703294377774,459.451635333244,354.276004363783,361.649470287375,498.549654777162
"48",257.352335483301,310.116511816159,497.794804675505,304.012254730333,212.768183241133
"49",274.682716256939,392.562244343571,131.733463017736,199.812764069065,128.846347902436
"50",454.363226983696,362.802258471493,425.224615901243,443.151963467244,117.33083879808
"51",268.270653265063,215.696479694452,479.211560508702,209.175515454262,185.113105631899
"52",238.782358611934,233.832712774165,299.414438649546,130.38890233729,390.702784084715
"53",397.916816361248,70.9277235670015,86.3014561240561,495.145058562048,325.525429402478
"54",293.76139617525,237.771085975692,393.81844404852,241.1873818608,121.562421240378
"55",97.1202547312714,309.903740556911,224.645343597513,253.3582125674,328.15678268671
"56",134.810658637434,369.597172643989,446.693357371259,304.099407244939,134.296384244226
"57",157.873578264844,289.61756041972,145.060012117028,468.907144735567,237.562121881638
"58",320.827933109831,409.838115295861,191.061396035366,182.15558368247,239.968637947459
"59",87.2128399438225,441.695985815022,480.340496625286,488.992915244307,354.26625222899
"60",308.758500905242,394.551092688926,300.176599237602,300.77189761214,377.360449661501
"61",394.704403670039,192.85300510237,306.274862634018,189.948817936238,292.313530948013
"62",88.6068334220909,317.737601895351,336.715767078567,211.172590742353,372.316458483692
"63",398.24935401557,472.998582175933,85.5996742611751,122.336844028905,452.491077780724
"64",166.571648500394,388.820364745334,434.022342669778,292.396658158395,296.223737183027
"65",93.528010963928,119.672520947643,455.937826167792,182.183879311197,445.286934264004
"66",159.429153881501,468.761536513921,221.643987961579,301.398382533807,383.119996055029
"67",469.590267539024,337.754694966134,484.993907355238,75.0028737122193,298.212351358961
"68",407.148218504153,345.27013754705,169.04492485337,232.250417221803,490.658967068885
"69",145.598761562724,387.220160104334,122.70960790338,172.710216802079,483.737674856093
"70",239.398136385716,173.869544337504,495.186699857004,148.449058120605,429.435306030791
"71",343.555173126515,429.622174799442,486.139866069425,156.324964342639,72.4533116677776
"72",451.279847405385,123.297885176726,275.428836396895,144.583190476988,434.745270188432
"73",331.584683211986,480.250959040131,241.327896504663,376.925762905739,159.965533029754
"74",380.447920551524,307.820573379286,126.703715941403,424.255151150282,401.950214256067
"75",151.197060151026,431.830135732889,205.00586197013,434.099919907749,122.116866533179
"76",91.2283409037627,279.390297865029,359.391740022693,181.271702668164,383.35976919625
