Index	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8
MADN0054	778000	739000	1110000	430000	1300000	3080000	1990000	909000	2360000	2470000	1710000	2400000	4450000	7150000	9320000	5190000	4810000	7010000	7150000	2910000	7770000	5590000	3760000	11000000
MADN0069	6770000	7090000	7380000	5820000	5950000	6270000	7590000	5290000	6010000	6830000	6440000	7010000	7010000	7010000	6280000	7140000	6880000	6210000	6610000	8480000	6850000	5650000	6760000	7590000
MADN0070	127000	48500	65600	46600	55700	61500	49400	63000	69700	93800	105000	62300	38100	24900	51600	86300	59600	50000	69600	65600	80300	42900	39300	44600
MADN0071	388000	567000	768000	158000	812000	741000	194000	483000	571000	682000	579000	714000	217000	517000	324000	169000	324000	420000	394000	94500	271000	86900	121000	680000
MADN0072	10700000	4600000	18600000	31400000	12700000	9590000	40400000	8720000	3900000	26200000	25500000	24900000	3430000	2110000	6110000	5550000	2000000	4310000	1590000	4640000	1500000	7830000	9240000	12600000
MADN0073	2180000000	2240000000	2330000000	2230000000	2230000000	2240000000	2290000000	2180000000	2160000000	2330000000	2270000000	2300000000	2280000000	2190000000	2200000000	2260000000	2250000000	2290000000	2310000000	2220000000	1600000000	2290000000	2290000000	2390000000
MADN0074	1010000	326000	424000	499000	418000	409000	557000	329000	281000	537000	400000	498000	168000	134000	64600	164000	63500	67000	126000	86600	149000	277000	178000	167000
MADN0078	3070000	5900000	8180000	1430000	7230000	7410000	1680000	4470000	5270000	5780000	6110000	6190000	3740000	4270000	3080000	1960000	3120000	4560000	4010000	1000000	2800000	2590000	1430000	5930000
MADN0089	1660000	1680000	1790000	1370000	1140000	1910000	1100000	956000	946000	1180000	1230000	1230000	678000	922000	1050000	1600000	1110000	1200000	1560000	1430000	1100000	962000	1630000	1260000
MADN0091	102000000	97600000	116000000	93200000	84800000	90600000	122000000	70200000	70900000	111000000	71400000	97000000	122000000	76200000	73100000	112000000	93800000	97100000	103000000	106000000	84400000	107000000	97300000	115000000
MADN0095	1890000	3580000	1780000	5570000	2820000	2450000	1420000	1410000	2080000	3240000	1600000	1460000	821000	1140000	931000	1350000	960000	1210000	702000	805000	1130000	1770000	832000	980000
MADN0100	1900000	1620000	1740000	1110000	1460000	1330000	1430000	1350000	1230000	2210000	1780000	1190000	1660000	1470000	1600000	1750000	1360000	1450000	1750000	674000	1940000	955000	1290000	1740000
MADN0103	58600000	62500000	64800000	45800000	80200000	72400000	42600000	67400000	78500000	72000000	85200000	87500000	30200000	35700000	34200000	56100000	40400000	39100000	30700000	32400000	58700000	32900000	37100000	65200000
MADN0104	43500	58600	42500	59500	57900	78700	96600	58400	48400	62100	68700	63000	89900	69200	38000	75200	64600	25400	86800	85100	84800	54000	64800	91000
MADN0105	977000	770000	646000	913000	587000	795000	663000	675000	824000	635000	649000	900000	643000	695000	615000	785000	574000	586000	719000	779000	695000	622000	820000	755000
MADN0110	3400000	3820000	4070000	2840000	3670000	4480000	2830000	3410000	3330000	5390000	2960000	3550000	3530000	2970000	4100000	4450000	3200000	2780000	3190000	2330000	4160000	2060000	2610000	4970000
MADN0111	2830000	2250000	2330000	1270000	2430000	3350000	1790000	2480000	2030000	3490000	2400000	2810000	2350000	2630000	2780000	2560000	2880000	2220000	2670000	1430000	1870000	1260000	1310000	3240000
MADN0113	811000	8250	133000	62400	117000	41400	12000	161000	35600	151000	698000	735000	26200	44900	15100	133000	66000	49600	68600	247000	129000	53500	223000	655000
MADN0118	262000	222000	299000	231000	307000	304000	297000	322000	247000	424000	367000	303000	200000	175000	209000	254000	236000	257000	222000	177000	261000	199000	206000	357000
MADN0122	162000	132000	214000	110000	135000	120000	138000	96200	112000	95700	165000	133000	61300	198000	241000	132000	307000	146000	184000	88900	144000	181000	109000	218000
MADN0124	391000	431000	317000	434000	331000	620000	438000	383000	212000	705000	428000	490000	81300	89300	57700	70800	62700	103000	84000	112000	102000	141000	93400	151000
MADN0125	63200000	82900000	117000000	99100000	131000000	140000000	145000000	102000000	84400000	167000000	103000000	100000000	212000000	167000000	170000000	219000000	144000000	126000000	221000000	198000000	204000000	197000000	138000000	236000000
MADN0127	230000	217000	236000	187000	440000	1070000	526000	200000	194000	626000	563000	305000	229000	269000	633000	638000	844000	840000	538000	229000	401000	488000	349000	748000
MADN0128	780000	988000	1210000	741000	1550000	2370000	1380000	1920000	1220000	2110000	1460000	1570000	974000	734000	1360000	1240000	1160000	1240000	1060000	421000	1060000	802000	490000	1800000
MADN0131	196000	264000	373000	102000	216000	581000	210000	379000	251000	621000	430000	420000	207000	372000	432000	349000	418000	529000	493000	174000	408000	87500	144000	642000
MADN0132	19600000	18000000	19000000	16500000	17100000	21300000	18100000	16800000	17900000	20700000	21900000	20500000	26400000	21700000	23900000	22800000	24100000	26900000	29900000	25000000	24700000	30200000	27300000	31000000
MADN0134	45400	43100	38900	52100	45300	25300	43300	49500	60900	34600	55700	36100	28000	50300	32000	53200	19600	32000	20600	36100	50000	22300	45400	28300
MADN0136	1810000	1070000	1240000	1100000	1460000	1970000	2100000	1680000	1720000	2990000	2170000	2580000	1000000	794000	1180000	1590000	1030000	1270000	1090000	794000	1300000	990000	1220000	2370000
MADN0139	334000	340000	430000	272000	445000	602000	319000	417000	350000	586000	504000	474000	304000	549000	489000	403000	393000	515000	497000	9	415000	9	9	640000
MADN0142	457000	535000	422000	101000	476000	754000	444000	460000	504000	1160000	899000	581000	479000	436000	331000	741000	314000	747000	648000	175000	452000	606000	333000	898000
MADN0147	249000	151000	172000	126000	172000	144000	116000	137000	214000	107000	137000	105000	123000	220000	239000	270000	330000	202000	213000	154000	130000	173000	151000	248000
MADN0149	306000	261000	319000	155000	276000	460000	207000	354000	369000	396000	481000	442000	263000	189000	225000	396000	223000	201000	165000	187000	455000	178000	238000	336000
MADN0150	95800	64400	52800	47600	73100	98700	67600	90100	72600	125000	69000	97900	96500	81800	77700	86100	70300	121000	94800	89900	58200	110000	76300	97900
MADN0152	206000000	233000000	389000000	176000000	179000000	191000000	262000000	173000000	188000000	154000000	120000000	175000000	296000000	152000000	464000000	324000000	463000000	347000000	294000000	384000000	162000000	518000000	208000000	237000000
MADN0156	42900	25700	24900	30200	31200	47500	63000	46900	37400	63200	55600	84400	17600	33200	65100	47700	64400	33300	34800	54800	55300	45000	57700	69100
MADN0164	10700000	7550000	12800000	8410000	11700000	19800000	12300000	10100000	12200000	27700000	17600000	19600000	12900000	15300000	12800000	19900000	13800000	18800000	34700000	24000000	32000000	36400000	28100000	44200000
MADN0171	40400	21400	28500	15700	27200	47800	51600	32900	32700	36600	42200	43800	57800	44200	63700	64900	73400	99000	33900	64000	42600	82200	58800	56000
MADN0180	106000	113000	64900	131000	149000	135000	162000	288000	317000	146000	382000	320000	44400	28900	55600	166000	40100	58900	19200	116000	112000	5360	22300	94600
MADN0181	9	9	26800	65000	27800	42800	48800	25200	27600	31200	38600	24200	42100	37100	95700	51900	28100	56900	69000	25400	56000	70800	19400	6100
MADN0186	30100	26800	33800	38000	36900	34300	171000	87600	162000	126000	97900	157000	25700	25000	16900	49100	32500	27500	27800	38100	25500	25800	41100	29100
MADN0187	466000	538000	580000	255000	454000	553000	213000	480000	578000	588000	380000	571000	442000	411000	629000	277000	642000	595000	652000	198000	606000	306000	411000	656000
MADN0191	3640000	3610000	3340000	3360000	3210000	3190000	3600000	3640000	3900000	3120000	3730000	3340000	3760000	3890000	3760000	3530000	3720000	3720000	3860000	3590000	3990000	3920000	4080000	3560000
MADN0193	2730000	1870000	2280000	818000	2630000	2710000	1900000	2660000	1410000	3150000	2260000	2440000	2000000	2270000	3140000	2450000	2180000	2370000	2810000	1870000	2780000	1510000	1300000	3020000
MADN0194	859000	1080000	1380000	1190000	1290000	1370000	1210000	1080000	935000	1670000	891000	1010000	1350000	931000	1240000	1410000	1210000	1060000	1560000	1100000	1130000	1200000	924000	1460000
MADN0198	4430000	685000	1710000	1960000	974000	810000	549000	2930000	2320000	1790000	6790000	3350000	603000	1050000	752000	900000	924000	520000	1080000	3150000	6490000	905000	2740000	2210000
MADN0200	72300	43000	53500	34800	45800	29100	36300	103000	63100	62100	55600	49800	26400	48200	40300	43900	30000	40100	48000	49400	56700	34400	29200	38500
MADN0202	30100	21300	21100	35900	7180	16000	21700	12400	25900	16000	16600	17400	29200	31200	10300	18900	14600	6900	11700	33400	16000	13700	34700	8670
MADN0204	42600	69600	37700	22200	44900	69500	46200	64100	45900	63500	38900	46600	63700	45100	30100	55500	54500	65900	32000	49400	66900	36600	39800	36000
MADN0208	81700	54700	51900	83000	63100	65200	53600	85100	65400	159000	97400	129000	95300	94100	77700	87000	81800	69000	66000	71400	44800	105000	112000	126000
MADN0210	292000	331000	372000	248000	372000	407000	273000	357000	353000	459000	378000	368000	304000	327000	352000	307000	343000	325000	338000	201000	303000	172000	209000	426000
MADN0213	27100	20200	34000	38500	18900	19600	71900	44300	29900	52500	52800	20500	34100	68900	61400	48100	72800	70200	59300	102000	111000	105000	108000	195000
MADN0217	3070000	1850000	1300000	1830000	2850000	2340000	2890000	2380000	2250000	2950000	5280000	3000000	1700000	1710000	933000	2550000	1550000	675000	1520000	1910000	2810000	3970000	1810000	2000000
MADN0220	375000	198000	292000	364000	229000	182000	195000	255000	215000	191000	368000	247000	182000	98600	138000	169000	112000	146000	126000	135000	158000	98600	190000	236000
MADN0222	462000	304000	437000	263000	258000	672000	699000	173000	468000	634000	301000	431000	428000	876000	225000	991000	629000	417000	254000	321000	369000	680000	148000	274000
MADN0224	320000	340000	518000	325000	484000	529000	535000	409000	367000	784000	528000	506000	298000	272000	356000	464000	361000	379000	439000	274000	380000	310000	317000	657000
MADN0228	1400000	1110000	957000	893000	1400000	1560000	1670000	1940000	1630000	1770000	1140000	1240000	652000	641000	631000	781000	508000	544000	493000	765000	961000	724000	832000	776000
MADN0235	168000	166000	206000	171000	160000	249000	214000	207000	188000	242000	213000	217000	224000	159000	210000	241000	198000	148000	209000	134000	199000	141000	166000	256000
MADN0240	588000	645000	714000	491000	656000	882000	568000	582000	563000	959000	570000	708000	647000	576000	801000	885000	465000	556000	587000	454000	817000	465000	432000	944000
MADN0244	625000	721000	767000	597000	964000	1100000	886000	670000	618000	949000	741000	727000	993000	806000	862000	964000	919000	793000	786000	806000	934000	954000	738000	1170000
MADN0245	81500	29800	49700	91300	26400	85600	57700	76800	55800	149000	61500	134000	62600	104000	70200	65400	52800	67100	79600	39400	58200	75000	104000	138000
MADN0258	7250	19800	18300	6790	19500	18900	7010	18200	16000	10100	18800	15900	13800	9390	17300	16100	12300	15100	9430	4990	18900	5470	7190	20000
MADN0266	1700000	1470000	1750000	887000	1380000	1950000	1430000	1470000	1250000	2020000	1380000	1570000	1250000	1220000	1160000	1670000	1260000	1210000	1530000	1010000	1530000	653000	649000	1780000
MADN0267	5500000	4140000	4860000	2460000	4630000	8120000	4060000	5710000	4230000	7940000	5560000	5380000	5090000	5000000	6640000	6310000	5230000	4900000	6090000	2880000	5910000	2130000	2790000	8250000
MADN0268	2580000	1780000	1500000	1260000	1640000	1840000	2200000	2080000	2360000	2530000	2520000	2100000	2490000	2520000	2250000	2040000	1940000	1680000	1920000	1580000	2380000	1460000	1690000	2840000
MADN0273	419000	517000	681000	292000	699000	958000	318000	733000	750000	1020000	1100000	913000	369000	524000	679000	572000	666000	672000	733000	349000	761000	222000	260000	1170000
MADN0275	133000	76300	124000	94700	148000	162000	138000	115000	92400	175000	174000	164000	63100	68900	67700	130000	67900	56200	68000	51500	132000	52000	70600	139000
MADN0276	37700	37100	60600	46800	34000	23300	40400	26400	18600	25300	9	25200	47900	57400	44200	51100	74600	30700	69000	84400	34500	67800	70300	92300
MADN0289	518000	409000	435000	384000	586000	581000	579000	542000	550000	821000	499000	581000	449000	362000	396000	439000	391000	399000	358000	272000	398000	394000	361000	675000
MADN0294	86400	46100	45200	123000	46700	69700	51500	87800	64700	104000	84200	120000	79500	94100	67500	69800	51000	59300	70300	72500	77900	86800	90800	135000
MADN0299	26500	57600	30100	30700	55500	58100	28300	38900	35200	57200	38900	39600	30800	18300	21500	34100	18500	22000	18400	13200	29300	17400	29200	40300
MADN0302	2330000	2360000	3050000	2040000	2410000	3110000	1910000	2310000	2000000	3830000	1980000	2660000	2500000	2190000	2890000	3160000	2210000	1990000	2390000	1660000	2720000	1540000	1740000	3530000
MADN0303	179000	244000	201000	136000	248000	328000	203000	177000	258000	341000	214000	208000	112000	163000	251000	194000	187000	247000	188000	122000	172000	74200	159000	307000
MADN0306	1670000	1540000	1510000	1160000	1590000	1880000	1560000	1240000	1430000	2240000	1520000	1770000	1470000	1330000	1740000	1690000	1400000	1490000	1670000	994000	1640000	602000	904000	1580000
MADN0307	121000	140000	298000	413000	210000	279000	162000	253000	194000	276000	284000	294000	170000	149000	173000	320000	193000	148000	165000	93700	159000	67900	120000	237000
MADN0318	7980000	6250000	9190000	11400000	8300000	7230000	12500000	7870000	6060000	10900000	10000000	11100000	6480000	6100000	5060000	10500000	5760000	12000000	6580000	7290000	5660000	9580000	13700000	9030000
MADN0333	46600	37500	36100	25000	24800	28100	20300	27100	32100	37300	30400	17200	36000	39600	30300	35000	21500	26000	28900	39000	13700	33200	23600	31600
MADN0336	529000	384000	449000	370000	535000	538000	555000	475000	546000	726000	538000	560000	392000	375000	431000	494000	356000	404000	359000	274000	394000	342000	349000	657000
MADN0343	1180000	866000	642000	425000	675000	587000	902000	595000	642000	572000	800000	667000	654000	662000	1060000	566000	1080000	866000	1100000	440000	1450000	373000	482000	1530000
MADN0358	43200	26000	199000	17400	213000	37200	30200	23400	37600	10600	94300	34200	15300	211000	316000	20300	196000	324000	417000	58900	64000	137000	55700	217000
MADN0361	4380000	7200000	7190000	3540000	4390000	6530000	5940000	4560000	4330000	5070000	3030000	4850000	4410000	1320000	1240000	1540000	1470000	5220000	2500000	1390000	3580000	2140000	2030000	4400000
MADN0370	85800	58800	97800	104000	171000	30200	23400	117000	89300	113000	231000	104000	93600	119000	54700	9	99400	133000	113000	59000	55600	33200	75000	76100
MADN0374	30100	102000	49900	60400	70300	80700	83300	45900	50300	68500	68700	52900	98700	92500	112000	112000	62600	38500	108000	72600	105000	71500	103000	170000
MADN0380	217000	334000	275000	195000	276000	543000	277000	294000	317000	1190000	289000	587000	137000	209000	612000	439000	331000	358000	328000	294000	418000	154000	327000	827000
MADN0388	1950000	1190000	2570000	1920000	2370000	1940000	1540000	1660000	1560000	2750000	1590000	2210000	831000	653000	789000	1170000	766000	855000	696000	454000	790000	632000	754000	1300000
MADN0396	42100	34100	43400	33100	60000	26700	122000	141000	275000	190000	260000	288000	22100	11100	10400	13600	14400	14800	15100	14500	5490	13400	13900	26800
MADN0404	4730000	1090000	2080000	3220000	1350000	916000	983000	1170000	717000	3180000	588000	1870000	757000	974000	324000	314000	752000	631000	462000	1120000	855000	337000	918000	930000
MADN0415	466000	526000	505000	523000	488000	633000	541000	593000	485000	633000	536000	547000	579000	471000	496000	556000	416000	421000	455000	316000	519000	298000	275000	600000
MADN0423	81800	57100	72200	153000	100000	109000	63800	86800	49600	93600	76300	79000	126000	182000	185000	147000	292000	343000	196000	137000	120000	248000	259000	158000
MADN0429	70800	63700	52600	86200	79500	60300	97900	45800	46500	86800	41800	42900	108000	64700	64300	54200	60100	64100	70600	87200	52400	114000	81600	54400
MADN0433	93400	30100	37700	34200	44000	81800	55000	64000	52800	86400	130000	46000	42800	44200	38100	81500	45600	44800	53500	69100	94300	34100	49000	82600
MADN0436	59300	43500	101000	55500	86000	148000	70300	5360	8150	181000	87900	72400	53700	43500	69700	161000	44900	73000	84700	9	95600	45100	66900	106000
MADN0441	375000	172000	288000	163000	219000	133000	257000	326000	235000	252000	313000	173000	108000	78100	69400	280000	74300	69800	52600	130000	176000	116000	88000	78600
MADN0443	170000	112000	141000	115000	124000	109000	157000	107000	104000	196000	146000	176000	98600	57400	54100	115000	75500	72800	72100	76100	102000	103000	74100	99900
MADN0450	91800	66300	92500	38300	115000	65000	94000	85000	113000	66300	83700	111000	8030	54200	22800	23100	24600	33900	39900	20700	20700	13000	11400	48700
MADN0456	46100	22500	38100	18100	24100	30200	39100	20900	47200	22900	27800	26600	27500	87100	114000	83100	60300	28000	119000	69700	63800	82300	88300	43200
MADN0463	81800	44400	98600	78800	117000	103000	105000	130000	120000	162000	162000	111000	61400	60600	63300	96400	35400	69900	81900	62400	107000	47200	49700	102000
MADN0466	68800	35600	38300	43700	72200	97500	73800	76500	51300	81200	86100	72700	42800	60100	57100	76100	57600	63700	44100	54100	75700	52600	56500	81300
MADP0005	79500000	62600000	71300000	49800000	56200000	82800000	83100000	45800000	52200000	83400000	62000000	69500000	32000000	20900000	26600000	41500000	21900000	35000000	20700000	18200000	33300000	22000000	33500000	35500000
MADP0006	14900000	10300000	16100000	11200000	9920000	19200000	15700000	12400000	15800000	31200000	21600000	14200000	15500000	9540000	7560000	13000000	16800000	12500000	36000000	26400000	33700000	36000000	30600000	43700000
MADP0013	2270000	1230000	1730000	1550000	1850000	1770000	2430000	1990000	2460000	3230000	4110000	2070000	1320000	1490000	1570000	1940000	1350000	1600000	1230000	1650000	2090000	1910000	1650000	1890000
MADP0014	119000000	86900000	109000000	90200000	141000000	154000000	125000000	97100000	102000000	205000000	138000000	137000000	77600000	67800000	78700000	130000000	76400000	87200000	84500000	54700000	114000000	76900000	85800000	137000000
MADP0018	75800	27800	38900	35400	29100	15700	90900	6800	49400	44700	51300	17000	34900	25900	33000	59900	26600	49600	79300	13000	15100	56800	19400	31400
MADP0021	2280000000	2450000000	2550000000	2230000000	2420000000	2510000000	1790000000	2340000000	2360000000	1940000000	1780000000	2540000000	2400000000	1720000000	2400000000	2470000000	1860000000	1940000000	1980000000	2350000000	2340000000	1890000000	2490000000	1980000000
MADP0024	1010000	783000	520000	551000	911000	753000	569000	498000	455000	1280000	399000	742000	988000	564000	423000	430000	213000	412000	666000	438000	525000	795000	534000	415000
MADP0028	3770000	6940000	6370000	5650000	7590000	9080000	8220000	7800000	6330000	7270000	8170000	7020000	8220000	11800000	22800000	6050000	13700000	16000000	16000000	10300000	9790000	14900000	6640000	16300000
MADP0030	37300000	20400000	32500000	30000000	31300000	21200000	28000000	28700000	30000000	31800000	30400000	29000000	34400000	26000000	26900000	30900000	27000000	26300000	25600000	25100000	30400000	24000000	22800000	13400000
MADP0036	1440000	1260000	1740000	863000	416000	1360000	1230000	1330000	1160000	1670000	1060000	1410000	1490000	863000	1020000	1540000	1390000	917000	1650000	1150000	1110000	1380000	1200000	1320000
MADP0038	3240000	504000	2350000	12800000	749000	891000	1990000	7030000	536000	9950000	424000	18100000	3360000	5260000	524000	575000	2360000	3150000	962000	3610000	5220000	816000	6640000	10900000
MADP0042	2330000	1370000	1150000	1400000	1700000	1250000	1290000	2120000	1120000	1610000	772000	1760000	1330000	1570000	986000	937000	800000	1090000	590000	2050000	1390000	1040000	1800000	2960000
MADP0046	11100000	7910000	8510000	8340000	13000000	13600000	8460000	8010000	8540000	12800000	12500000	13500000	5350000	3660000	6240000	9490000	6740000	5380000	4660000	3770000	9030000	5890000	7640000	8740000
MADP0056	4450000	4310000	6050000	5610000	5410000	5110000	6210000	5040000	3080000	7410000	4910000	4360000	5930000	5390000	6300000	7340000	5940000	4130000	8130000	5420000	5060000	5900000	4850000	7060000
MADP0058	1870000	1360000	1790000	1510000	1800000	2210000	1840000	1510000	1960000	1590000	1950000	1710000	1380000	1620000	1590000	1540000	1600000	1610000	1950000	2120000	2430000	1590000	2120000	2100000
MADP0059	1190000	967000	803000	652000	1040000	1590000	408000	1180000	1170000	1040000	1020000	798000	946000	1050000	798000	908000	1120000	1160000	1460000	749000	1340000	641000	869000	1000000
MADP0063	29200000	9380000	8660000	14400000	5170000	8080000	233000000	31300000	5010000	10600000	11900000	11400000	9330000	7330000	13300000	8890000	22800000	7920000	11100000	4770000	14800000	8280000	22000000	11000000
MADP0065	104000	759000	219000	285000	955000	1240000	410000	361000	539000	324000	37000	150000	1530000	452000	740000	613000	367000	392000	1150000	192000	1040000	373000	84700	1190000
MADP0068	33300	33100	9	9	60100	1190000	133000	32500	9	338000	106000	37000	35300	32000	101000	87100	65100	88800	107000	43100	64400	19000	21000	45200
MADP0069	6200000	5550000	12000000	8670000	9770000	12500000	8350000	9450000	5810000	12900000	8810000	7760000	12300000	8430000	9580000	11200000	7820000	10500000	12400000	8600000	8740000	9530000	6880000	11600000
MADP0074	1280000	525000	861000	374000	2660000	15500000	2500000	758000	540000	3570000	1780000	1900000	562000	406000	632000	3620000	718000	1560000	800000	590000	2080000	9	314000	1960000
MADP0075	2750000	2140000	2790000	1070000	889000	3260000	2170000	987000	1690000	3370000	743000	827000	2710000	2990000	3060000	2400000	3310000	2940000	3220000	3020000	2250000	9	1840000	3020000
MADP0076	1010000	1050000	2210000	1900000	2680000	2280000	3630000	1430000	1520000	3270000	2070000	1610000	4740000	2550000	2150000	3160000	1600000	2950000	1870000	2160000	3280000	2770000	2870000	3590000
MADP0078	8530000	5980000	5530000	8450000	4360000	7470000	6610000	8050000	5530000	8240000	1820000	6800000	7360000	9700000	7090000	2320000	6440000	15900000	7290000	14800000	6710000	8650000	5590000	15600000
MADP0082	963000	1420000	1730000	1230000	2150000	2490000	1910000	2110000	1400000	2220000	1380000	1720000	2490000	1810000	2670000	2320000	2350000	2380000	2480000	2010000	2420000	1950000	1860000	3320000
MADP0085	255000	126000	238000	174000	126000	95900	110000	127000	159000	224000	264000	122000	174000	123000	86700	112000	154000	118000	63300	93000	109000	167000	120000	176000
MADP0086	10900000	8430000	13400000	6230000	5520000	16600000	15300000	7680000	7990000	11000000	7460000	13400000	14500000	9620000	14300000	4980000	3910000	7010000	3380000	9910000	13800000	6700000	6140000	8550000
MADP0089	2110000	692000	826000	1800000	913000	1310000	1590000	1130000	1340000	3310000	1370000	2570000	1380000	1460000	577000	858000	1440000	1730000	1130000	860000	1700000	1080000	2760000	3940000
MADP0090	57800000	80100000	60800000	39800000	77800000	87100000	56700000	43900000	86800000	60800000	73500000	54700000	58700000	58100000	47200000	37200000	74900000	48100000	61700000	33400000	45700000	24100000	27600000	47100000
MADP0094	8350000	8280000	4110000	9760000	9840000	6510000	9150000	6140000	9830000	14000000	15300000	12100000	3350000	2250000	2220000	1880000	2560000	2180000	3110000	2390000	2380000	2800000	4640000	3560000
MADP0096	4190000	7180000	10700000	3990000	6180000	14800000	3650000	8650000	6730000	7340000	4500000	5670000	10200000	13900000	13800000	5070000	13600000	15800000	14500000	2740000	7450000	2940000	3140000	11900000
MADP0098	190000	183000	170000	129000	174000	177000	126000	152000	187000	181000	165000	143000	219000	234000	244000	168000	171000	216000	200000	96500	220000	187000	200000	162000
MADP0104	74300000	82400000	82000000	84400000	81000000	80700000	84600000	83200000	87700000	87500000	76200000	77700000	95400000	95100000	60500000	89200000	91900000	89800000	105000000	97300000	92700000	97100000	86200000	100000000
MADP0106	533000	158000	301000	471000	256000	1410000	2050000	682000	238000	676000	843000	477000	207000	324000	628000	421000	1270000	503000	848000	206000	977000	313000	650000	731000
MADP0113	1130000	1240000	9	9	1340000	1060000	1060000	1030000	1020000	2050000	825000	712000	986000	1260000	1180000	909000	839000	1280000	912000	1090000	1260000	1270000	906000	1140000
MADP0119	931000	943000	894000	1620000	942000	12600000	2990000	3950000	1330000	3630000	4730000	2080000	1220000	3910000	10900000	4830000	11000000	9490000	6450000	751000	3320000	1530000	3600000	6130000
MADP0124	1630000	476000	1350000	1610000	1340000	379000	1520000	1010000	1340000	1140000	1430000	1590000	949000	684000	264000	1070000	476000	282000	122000	779000	606000	1540000	935000	507000
MADP0125	4990000	4040000	4540000	3750000	5320000	3360000	3970000	3610000	3820000	4360000	3970000	3980000	1000000	1750000	1630000	3460000	1790000	1410000	1550000	1530000	3130000	2020000	2650000	2350000
MADP0127	8910000	8630000	8610000	8460000	9170000	8100000	9430000	9350000	9010000	8530000	8740000	9160000	9130000	8340000	8410000	8710000	8880000	9370000	8670000	8850000	9440000	8950000	9260000	8780000
MADP0130	5320000	2090000	3870000	11600000	4670000	3080000	5000000	4160000	4810000	4990000	4630000	10300000	4790000	5880000	6250000	3010000	4540000	7160000	1930000	6490000	7510000	4610000	7750000	4860000
MADP0135	5050000	2960000	4690000	3960000	6800000	8090000	6970000	4920000	5250000	14700000	9970000	9760000	3490000	2910000	3640000	6840000	3350000	4110000	3640000	3370000	5850000	3820000	4840000	8350000
MADP0142	31200000	7060000	3940000	6810000	3110000	3770000	11200000	22400000	6310000	5650000	7350000	7440000	4260000	6180000	20800000	5540000	17900000	4990000	5820000	2660000	7620000	3320000	16800000	6650000
MADP0148	81400	60900	145000	62400	78200	55100	78800	111000	82800	100000	104000	87400	61600	82600	43500	122000	53100	44300	90800	70800	79300	56100	37800	85300
MADP0156	3870000	2130000	2280000	3230000	3190000	1500000	4550000	2910000	2860000	3500000	4570000	3470000	1640000	492000	324000	3510000	417000	255000	252000	1680000	1880000	2870000	2880000	362000
MADP0162	3890000	1850000	1570000	1550000	2330000	5210000	2590000	2730000	2380000	4530000	3290000	3230000	2420000	2700000	4010000	3280000	3710000	3120000	2730000	1440000	4100000	1720000	2240000	3650000
MADP0175	31400000	22800000	29100000	24100000	37000000	40400000	32000000	25700000	27400000	52900000	35800000	37100000	20800000	18500000	20800000	34800000	20300000	23700000	22400000	14500000	30100000	20800000	22800000	35800000
MADP0180	415000	773000	461000	304000	402000	505000	589000	554000	598000	728000	341000	608000	671000	348000	347000	393000	248000	447000	465000	823000	243000	227000	522000	500000
MADP0183	391000	328000	160000	290000	316000	272000	345000	130000	170000	481000	230000	373000	51400	59100	65800	148000	103000	169000	128000	95400	96700	207000	137000	146000
MADP0187	448000	233000	338000	309000	398000	424000	374000	803000	448000	542000	585000	417000	173000	215000	248000	371000	180000	152000	240000	382000	424000	203000	201000	328000
MADP0189	3410000	1400000	1780000	1390000	2250000	4830000	2370000	2260000	2210000	4310000	3220000	3090000	2360000	3340000	3780000	2260000	3610000	2660000	3590000	1440000	4010000	1590000	2810000	3380000
MADP0190	4400000	5070000	3950000	4160000	4550000	4130000	6610000	5590000	6150000	6470000	7100000	8020000	4560000	3160000	3720000	3970000	4680000	4550000	4110000	4240000	2450000	4240000	3400000	4780000
MADP0192	160000	275000	446000	103000	443000	448000	116000	278000	470000	301000	541000	344000	73200	108000	239000	46700	185000	165000	101000	36600	121000	49700	58800	173000
MADP0194	301000	280000	248000	316000	187000	403000	192000	257000	264000	599000	273000	354000	298000	320000	258000	297000	205000	374000	537000	344000	275000	450000	373000	275000
MADP0196	234000000	126000000	117000000	115000000	123000000	198000000	168000000	230000000	331000000	170000000	313000000	231000000	102000000	191000000	147000000	109000000	197000000	171000000	135000000	342000000	190000000	191000000	151000000	267000000
MADP0197	17300000	11700000	8200000	14800000	18800000	16500000	19100000	8710000	13400000	13900000	16400000	18500000	10300000	7610000	7670000	17900000	8360000	8470000	7930000	7740000	13000000	11900000	12600000	13100000
MADP0199	34100000	14600000	13100000	57800000	23500000	12500000	43600000	30300000	17900000	41900000	38500000	31500000	16600000	9440000	12400000	42300000	15200000	13900000	8000000	16100000	22800000	54300000	46300000	12200000
MADP0200	13500000	19700000	8250000	12500000	11000000	19900000	20900000	18100000	21800000	13800000	17500000	15500000	13300000	5920000	13600000	15700000	16200000	11700000	13700000	11600000	7690000	6270000	5860000	4730000
MADP0201	148000000	100000000	128000000	111000000	162000000	193000000	133000000	92900000	113000000	225000000	161000000	165000000	107000000	89500000	110000000	155000000	118000000	119000000	117000000	75700000	144000000	112000000	112000000	180000000
